time_elapsed,bvp,baseline_cog
28.9,9.977272727272727,baseline
29.0,8.18987012987013,baseline
29.1,7.415454545454546,baseline
29.2,4.348831168831168,baseline
29.3,4.116060606060609,baseline
29.4,7.516363636363637,baseline
29.5,3.441948051948051,baseline
29.6,-4.789393939393938,baseline
29.7,-12.662878787878787,baseline
29.8,-14.859090909090908,baseline
29.9,-3.191212121212122,baseline
30.0,2.382207792207791,baseline
30.1,26.597727272727273,baseline
30.2,22.60038961038961,baseline
30.3,5.151666666666668,baseline
30.4,0.17106060606060616,baseline
30.5,-3.5980519480519475,baseline
30.6,-20.499242424242425,baseline
30.7,-30.96681818181818,baseline
30.8,-15.92753246753247,baseline
30.9,1.0446969696969697,baseline
31.0,17.634415584415585,baseline
31.1,11.954242424242425,baseline
31.2,8.662857142857144,baseline
31.3,-0.20924242424242384,baseline
31.4,-5.1525757575757565,baseline
31.5,6.2479220779220785,baseline
31.6,1.2927272727272727,baseline
31.7,-0.4019696969696957,baseline
31.8,0.21428571428571336,baseline
31.9,-12.145757575757575,baseline
32.0,-12.46064935064935,baseline
32.1,-5.227727272727273,baseline
32.2,-3.251428571428572,baseline
32.3,9.311818181818182,baseline
32.4,9.681818181818182,baseline
32.5,3.677012987012985,baseline
32.6,-1.5630303030303025,baseline
32.7,-1.5903030303030308,baseline
32.8,-9.918311688311688,baseline
32.9,-11.10060606060606,baseline
33.0,1.987402597402596,baseline
33.1,6.827727272727272,baseline
33.2,11.337922077922077,baseline
33.3,-1.9304545454545474,baseline
33.4,-4.087272727272728,baseline
33.5,-13.464675324675323,baseline
33.6,-12.540454545454544,baseline
33.7,-4.603787878787878,baseline
33.8,9.46,baseline
33.9,15.665454545454544,baseline
34.0,8.492857142857142,baseline
34.1,-5.883030303030304,baseline
34.2,-9.351688311688314,baseline
34.3,-24.868333333333336,baseline
34.4,-29.874242424242425,baseline
34.5,-1.0783116883116872,baseline
34.6,18.914696969696966,baseline
34.7,26.817575757575757,baseline
34.8,20.770909090909093,baseline
34.9,8.72151515151515,baseline
35.0,-9.151948051948052,baseline
35.1,-23.820909090909087,baseline
35.2,-20.847792207792207,baseline
35.3,4.293787878787877,baseline
35.4,17.584242424242426,baseline
35.5,15.285064935064934,baseline
35.6,6.74939393939394,baseline
35.7,-2.8703030303030306,baseline
35.8,-11.922987012987011,baseline
35.9,-20.602272727272727,baseline
36.0,-11.640649350649348,baseline
36.1,-11.217575757575759,baseline
36.2,4.454025974025975,baseline
36.3,22.152424242424242,baseline
36.4,9.94,baseline
36.5,0.6905194805194803,baseline
36.6,-5.495909090909091,baseline
36.7,-13.037727272727272,baseline
36.8,-6.619090909090909,baseline
36.9,-10.80378787878788,baseline
37.0,2.315974025974025,baseline
37.1,4.355454545454544,baseline
37.2,1.361818181818181,baseline
37.3,9.842575757575757,baseline
37.4,2.7071212121212125,baseline
37.5,3.8366233766233773,baseline
37.6,-6.876515151515151,baseline
37.7,1.1536363636363633,baseline
37.8,6.670649350649352,baseline
37.9,4.438484848484849,baseline
38.0,-1.7609090909090939,baseline
38.1,-12.59772727272727,baseline
38.2,-6.001688311688313,baseline
38.3,5.964545454545453,baseline
38.4,6.001666666666666,baseline
38.5,14.26116883116883,baseline
38.6,12.298181818181815,baseline
38.7,3.824393939393939,baseline
38.8,-4.227662337662339,baseline
38.9,-8.513484848484849,baseline
39.0,-12.994545454545454,baseline
39.1,-17.401515151515152,baseline
39.2,-8.43051948051948,baseline
39.3,21.970757575757577,baseline
39.4,22.994545454545456,baseline
39.5,10.698311688311689,baseline
39.6,-0.22636363636363785,baseline
39.7,-7.223181818181817,baseline
39.8,-5.651038961038961,baseline
39.9,-9.672575757575759,baseline
40.0,-4.27090909090909,baseline
40.1,-2.606060606060605,baseline
40.2,-3.5668831168831177,baseline
40.3,8.662727272727274,baseline
40.4,11.093939393939392,baseline
40.5,16.755974025974027,baseline
40.6,9.612727272727273,baseline
40.7,0.4495454545454533,baseline
40.8,-14.075974025974027,baseline
40.9,-18.18015151515152,baseline
41.0,-3.2854545454545456,baseline
41.1,-14.67818181818182,baseline
41.2,-0.9074025974025969,baseline
41.3,14.495,baseline
41.4,15.45030303030303,baseline
41.5,6.7448051948051955,baseline
41.6,-6.113939393939393,baseline
41.7,-22.60090909090909,baseline
41.8,-12.20012987012987,baseline
41.9,-3.706363636363638,baseline
42.0,12.33077922077922,baseline
42.1,5.256515151515153,baseline
42.2,9.145454545454545,baseline
42.3,3.896666666666665,baseline
42.4,-5.083333333333333,baseline
42.5,-5.4467532467532465,baseline
42.6,-3.698030303030302,baseline
42.7,10.583636363636362,baseline
42.8,6.147012987012986,baseline
42.9,2.4290909090909096,baseline
43.0,-0.3609090909090922,baseline
43.1,-11.539393939393939,baseline
43.2,-16.052207792207792,baseline
43.3,-10.607424242424242,baseline
43.4,7.903181818181817,baseline
43.5,6.227142857142858,baseline
43.6,6.544090909090909,baseline
43.7,7.1039393939393936,baseline
43.8,-6.091428571428572,baseline
