time_elapsed,bvp,baseline_cog
16.9,358.3913836363636,baseline
17.0,748.1718428571428,baseline
17.1,71.55738575757576,baseline
17.2,46.54452597402599,baseline
17.3,52.474065757575765,baseline
17.4,125.4834672727273,baseline
17.5,205.70221082251084,baseline
17.6,112.58808363636363,baseline
17.7,260.82512060606064,baseline
17.8,1031.5297623376619,baseline
17.9,403.89843454545456,baseline
18.0,43.68888701298703,baseline
18.1,56.12118666666666,baseline
18.2,119.45435064935072,baseline
18.3,74.85372757575759,baseline
18.4,126.48059666666667,baseline
18.5,680.531051948052,baseline
18.6,135.59383878787875,baseline
18.7,217.7677166666667,baseline
18.8,284.86907705627704,baseline
18.9,97.84157424242422,baseline
19.0,204.79807489177492,baseline
19.1,94.90409666666665,baseline
19.2,458.0420718614718,baseline
19.3,69.78456272727273,baseline
19.4,217.6464342424243,baseline
19.5,267.3326606060606,baseline
19.6,88.37828151515154,baseline
19.7,150.43201696969697,baseline
19.8,124.4827194805195,baseline
19.9,321.6418293939394,baseline
20.0,357.8631982683983,baseline
20.1,89.66237212121213,baseline
20.2,287.8429640692641,baseline
20.3,129.82774818181818,baseline
20.4,121.2039703030303,baseline
20.5,436.2100095238096,baseline
20.6,97.42376484848484,baseline
20.7,217.13301939393943,baseline
20.8,370.8126190476191,baseline
20.9,186.3321803030303,baseline
21.0,362.2661497835497,baseline
21.1,340.0246654545455,baseline
21.2,169.6680238095237,baseline
21.3,134.29416818181818,baseline
21.4,55.49744757575758,baseline
21.5,167.31725757575762,baseline
21.6,48.118433030303045,baseline
21.7,100.68064818181819,baseline
21.8,125.0702523809524,baseline
21.9,328.2124624242424,baseline
22.0,376.7764380952381,baseline
22.1,113.49468272727273,baseline
22.2,57.07042077922076,baseline
22.3,52.46640999999999,baseline
22.4,67.97862333333332,baseline
22.5,279.0262541125541,baseline
22.6,180.56835121212114,baseline
22.7,122.62969515151512,baseline
22.8,240.5125987012987,baseline
22.9,42.402413636363626,baseline
23.0,130.21512554112553,baseline
23.1,232.7756448484848,baseline
23.2,134.60722164502167,baseline
23.3,134.91881424242422,baseline
23.4,333.7394324242424,baseline
23.5,145.4084186147186,baseline
23.6,294.6955363636364,baseline
23.7,22.000277272727267,baseline
23.8,41.07631212121211,baseline
23.9,41.27887666666666,baseline
24.0,178.53989696969697,baseline
24.1,289.8474166666667,baseline
24.2,237.80294805194808,baseline
24.3,152.61886848484846,baseline
24.4,336.6348606060606,baseline
24.5,83.93057662337662,baseline
24.6,41.192083939393925,baseline
24.7,39.11222272727273,baseline
24.8,89.51255584415584,baseline
24.9,170.184046969697,baseline
25.0,327.15963679653686,baseline
25.1,124.66952151515153,baseline
25.2,313.71454372294374,baseline
25.3,211.23810848484848,baseline
25.4,91.71638727272727,baseline
25.5,73.14039870129871,baseline
25.6,45.560676060606056,baseline
25.7,44.88875545454547,baseline
25.8,372.21012207792205,baseline
25.9,146.48170545454542,baseline
26.0,461.2155497835498,baseline
26.1,71.01856909090908,baseline
26.2,208.1691367965368,baseline
26.3,70.77752666666669,baseline
26.4,213.28142333333335,baseline
26.5,310.1554484848485,baseline
26.6,73.88779424242425,baseline
26.7,54.501853333333344,baseline
26.8,369.80225108225113,baseline
26.9,168.59615333333335,baseline
27.0,306.9012086580086,baseline
27.1,216.57045727272717,baseline
27.2,845.5259562770563,baseline
27.3,211.47857393939395,baseline
27.4,45.489574848484835,baseline
27.5,242.51174935064935,baseline
27.6,323.0206515151515,baseline
27.7,132.15103484848484,baseline
27.8,172.76833766233761,baseline
27.9,75.5074378787879,baseline
28.0,843.0253155844156,baseline
28.1,219.80324818181816,baseline
28.2,83.19188658008657,baseline
28.3,172.08351848484847,baseline
28.4,308.94018393939405,baseline
28.5,323.11508311688317,baseline
28.6,367.93167424242426,baseline
28.7,442.7438687878788,baseline
28.8,192.2071346320348,baseline
28.9,367.23011939393945,baseline
29.0,98.19928051948054,baseline
29.1,144.21123636363637,baseline
29.2,188.82419004329003,baseline
29.3,184.84572727272723,baseline
29.4,414.1104066666667,baseline
29.5,62.27995411255412,baseline
29.6,147.25518484848487,baseline
29.7,92.69863969696972,baseline
29.8,344.2697432900433,baseline
29.9,239.46463090909094,baseline
30.0,432.1703484848486,baseline
30.1,147.08123121212122,baseline
30.2,50.0800826839827,baseline
30.3,46.72345666666666,baseline
30.4,101.1457112121212,baseline
30.5,139.45670086580088,baseline
30.6,136.50826878787876,baseline
30.7,407.03479787878774,baseline
30.8,329.23565974025973,baseline
30.9,297.8881966666666,baseline
31.0,224.3089774891775,baseline
31.1,47.06098121212122,baseline
31.2,115.71482943722944,baseline
31.3,131.54138333333336,baseline
31.4,191.66242878787872,baseline
31.5,218.82101904761905,baseline
31.6,70.02752969696972,baseline
31.7,205.03675909090907,baseline
31.8,140.98607835497836,baseline
31.9,97.04816181818181,baseline
32.0,178.15165887445895,baseline
32.1,472.6703027272728,baseline
32.2,313.50827142857156,baseline
32.3,160.42019030303032,baseline
32.4,41.28517878787881,baseline
32.5,118.09562164502162,baseline
