time_elapsed,bvp,gamified_or_no
280.8,-27.066666666666666,non_gamified
280.9,44.422222222222224,non_gamified
281.0,58.393809523809516,non_gamified
281.1,15.496666666666668,non_gamified
281.2,38.77,non_gamified
281.3,63.76777777777778,non_gamified
281.4,47.211666666666666,non_gamified
281.5,24.142857142857146,non_gamified
281.6,22.87,non_gamified
281.7,0.2958333333333343,non_gamified
281.8,-16.012857142857143,non_gamified
281.9,-28.791666666666668,non_gamified
282.0,7.187142857142858,non_gamified
282.1,48.1825,non_gamified
282.2,63.445714285714274,non_gamified
282.3,-34.8475,non_gamified
282.4,-91.05833333333334,non_gamified
282.5,-113.03142857142856,non_gamified
282.6,-106.395,non_gamified
282.7,-44.29249999999999,non_gamified
282.8,23.0342857142857,non_gamified
282.9,134.33333333333334,non_gamified
283.0,210.11428571428573,non_gamified
283.1,143.5475,non_gamified
283.2,31.362857142857138,non_gamified
283.3,-140.46916666666664,non_gamified
283.4,-180.11416666666665,non_gamified
283.5,-126.88214285714285,non_gamified
283.6,-81.56166666666667,non_gamified
283.7,-50.07333333333333,non_gamified
283.8,-32.525,non_gamified
283.9,-28.656666666666666,non_gamified
284.0,125.35857142857142,non_gamified
284.1,149.71583333333334,non_gamified
284.2,26.535,non_gamified
284.3,-35.473333333333336,non_gamified
284.4,-51.079999999999984,non_gamified
284.5,-51.40857142857143,non_gamified
284.6,8.344166666666666,non_gamified
284.7,62.1875,non_gamified
284.8,88.57214285714286,non_gamified
284.9,86.66916666666667,non_gamified
285.0,67.86142857142858,non_gamified
285.1,-38.693333333333335,non_gamified
285.2,-89.38142857142856,non_gamified
285.3,-111.02583333333334,non_gamified
285.4,-125.47583333333334,non_gamified
285.5,-124.47142857142858,non_gamified
285.6,-106.11583333333334,non_gamified
285.7,-87.4425,non_gamified
285.8,5.492857142857147,non_gamified
285.9,58.17583333333333,non_gamified
286.0,95.57428571428571,non_gamified
286.1,97.5325,non_gamified
286.2,57.86357142857143,non_gamified
286.3,11.28833333333333,non_gamified
286.4,-39.72083333333333,non_gamified
286.5,-7.63571428571429,non_gamified
286.6,60.20083333333333,non_gamified
286.7,59.145833333333336,non_gamified
286.8,46.34071428571429,non_gamified
286.9,6.90583333333333,non_gamified
287.0,-18.059285714285714,non_gamified
287.1,-15.853333333333332,non_gamified
287.2,-1.8028571428571425,non_gamified
287.3,15.444166666666664,non_gamified
287.4,7.360833333333332,non_gamified
287.5,-14.535,non_gamified
287.6,-48.380833333333335,non_gamified
287.7,-71.0325,non_gamified
287.8,-70.76214285714286,non_gamified
287.9,-46.78666666666666,non_gamified
288.0,63.42928571428572,non_gamified
288.1,141.08333333333334,non_gamified
288.2,86.66357142857143,non_gamified
288.3,22.44583333333333,non_gamified
288.4,-62.12916666666667,non_gamified
288.5,-112.29214285714286,non_gamified
288.6,-179.2925,non_gamified
288.7,-165.6525,non_gamified
288.8,-20.032857142857146,non_gamified
288.9,123.84583333333333,non_gamified
289.0,184.70785714285714,non_gamified
289.1,197.04166666666669,non_gamified
289.2,161.58357142857142,non_gamified
289.3,57.63333333333334,non_gamified
289.4,-19.204166666666673,non_gamified
289.5,-10.055000000000001,non_gamified
289.6,-14.102500000000003,non_gamified
289.7,-59.6575,non_gamified
289.8,-80.55214285714285,non_gamified
289.9,-56.145,non_gamified
290.0,-29.239285714285717,non_gamified
290.1,-13.021666666666668,non_gamified
290.2,13.346428571428573,non_gamified
290.3,2.345833333333333,non_gamified
290.4,-45.35916666666667,non_gamified
290.5,-40.15571428571429,non_gamified
290.6,32.525000000000006,non_gamified
290.7,14.974166666666665,non_gamified
290.8,-10.217142857142857,non_gamified
290.9,6.602499999999999,non_gamified
291.0,43.34857142857143,non_gamified
291.1,61.52583333333334,non_gamified
291.2,76.25142857142856,non_gamified
291.3,84.465,non_gamified
291.4,84.97833333333332,non_gamified
291.5,89.56357142857144,non_gamified
291.6,114.01083333333332,non_gamified
291.7,316.2308333333333,non_gamified
291.8,193.12642857142856,non_gamified
291.9,-231.11999999999998,non_gamified
292.0,-177.795,non_gamified
292.1,-170.80583333333334,non_gamified
292.2,-215.54071428571427,non_gamified
292.3,-172.0325,non_gamified
292.4,-54.241666666666674,non_gamified
292.5,-5.345714285714285,non_gamified
292.6,-31.622500000000002,non_gamified
292.7,-87.13166666666666,non_gamified
292.8,-84.78928571428571,non_gamified
292.9,-98.89500000000001,non_gamified
293.0,-8.382142857142856,non_gamified
293.1,102.16416666666667,non_gamified
293.2,105.43071428571429,non_gamified
293.3,34.4925,non_gamified
293.4,2.7491666666666665,non_gamified
293.5,-56.31285714285714,non_gamified
293.6,-114.47916666666666,non_gamified
293.7,-36.3575,non_gamified
293.8,63.05857142857142,non_gamified
293.9,69.73833333333333,non_gamified
294.0,75.21000000000001,non_gamified
294.1,117.72416666666666,non_gamified
294.2,122.13357142857143,non_gamified
294.3,49.93416666666667,non_gamified
294.4,21.78666666666667,non_gamified
294.5,-12.307857142857143,non_gamified
294.6,-29.869166666666665,non_gamified
294.7,0.9291666666666671,non_gamified
294.8,-21.264285714285727,non_gamified
294.9,-100.4425,non_gamified
295.0,-147.20857142857142,non_gamified
295.1,-75.36916666666667,non_gamified
295.2,33.82428571428572,non_gamified
295.3,50.209166666666675,non_gamified
295.4,23.522499999999997,non_gamified
295.5,-8.306428571428572,non_gamified
295.6,-41.93666666666667,non_gamified
295.7,-22.439999999999998,non_gamified
295.8,45.88285714285714,non_gamified
295.9,53.72333333333333,non_gamified
296.0,37.075714285714284,non_gamified
296.1,12.593333333333334,non_gamified
296.2,-30.454285714285714,non_gamified
296.3,-77.7475,non_gamified
296.4,-72.24833333333333,non_gamified
296.5,41.52285714285714,non_gamified
296.6,64.86916666666667,non_gamified
296.7,47.814166666666665,non_gamified
296.8,35.41857142857143,non_gamified
296.9,6.428333333333334,non_gamified
297.0,-33.07857142857143,non_gamified
297.1,-54.43083333333334,non_gamified
297.2,-4.4085714285714275,non_gamified
297.3,19.029166666666672,non_gamified
297.4,43.25,non_gamified
297.5,46.495000000000005,non_gamified
297.6,28.308333333333334,non_gamified
297.7,6.663333333333336,non_gamified
297.8,-1.3564285714285713,non_gamified
297.9,66.1125,non_gamified
298.0,96.24071428571429,non_gamified
298.1,69.00166666666667,non_gamified
298.2,25.650714285714283,non_gamified
298.3,0.20333333333333314,non_gamified
298.4,-16.67583333333334,non_gamified
298.5,-28.59642857142857,non_gamified
298.6,3.081666666666667,non_gamified
298.7,-8.016666666666666,non_gamified
298.8,-27.298571428571428,non_gamified
298.9,-35.593333333333334,non_gamified
299.0,-51.44357142857143,non_gamified
299.1,-82.04916666666666,non_gamified
299.2,-91.67428571428572,non_gamified
299.3,-30.661666666666665,non_gamified
299.4,-16.81916666666667,non_gamified
299.5,-24.697142857142854,non_gamified
299.6,-59.328333333333326,non_gamified
299.7,-32.97416666666667,non_gamified
299.8,60.425,non_gamified
299.9,32.29333333333334,non_gamified
300.0,40.511428571428574,non_gamified
300.1,25.243333333333332,non_gamified
300.2,11.584285714285715,non_gamified
300.3,25.585,non_gamified
300.4,11.3225,non_gamified
300.5,-14.311428571428575,non_gamified
300.6,-0.754999999999999,non_gamified
300.7,51.95166666666667,non_gamified
300.8,61.692142857142855,non_gamified
300.9,49.85,non_gamified
301.0,31.399999999999995,non_gamified
301.1,-11.907499999999999,non_gamified
301.2,-60.32428571428571,non_gamified
301.3,-32.58166666666667,non_gamified
301.4,-17.761666666666663,non_gamified
301.5,-24.729285714285716,non_gamified
301.6,-41.931666666666665,non_gamified
301.7,-74.24416666666667,non_gamified
301.8,-85.33142857142856,non_gamified
301.9,-79.24833333333333,non_gamified
302.0,15.14857142857143,non_gamified
302.1,98.82083333333333,non_gamified
302.2,52.254285714285714,non_gamified
302.3,45.67,non_gamified
302.4,12.816666666666666,non_gamified
302.5,-15.293571428571425,non_gamified
302.6,-23.701666666666668,non_gamified
302.7,16.063333333333333,non_gamified
302.8,25.585714285714285,non_gamified
302.9,8.292500000000002,non_gamified
303.0,-17.797857142857143,non_gamified
303.1,-65.51750000000001,non_gamified
303.2,-36.44285714285714,non_gamified
303.3,37.275,non_gamified
303.4,64.07,non_gamified
303.5,52.970000000000006,non_gamified
303.6,22.562499999999996,non_gamified
303.7,-0.4133333333333322,non_gamified
303.8,-19.842142857142857,non_gamified
303.9,-37.055,non_gamified
304.0,-2.5228571428571436,non_gamified
304.1,17.474999999999998,non_gamified
304.2,-17.354285714285716,non_gamified
304.3,-64.10833333333333,non_gamified
304.4,-110.935,non_gamified
304.5,-193.28714285714287,non_gamified
304.6,-252.16333333333333,non_gamified
304.7,-168.79166666666666,non_gamified
304.8,78.5957142857143,non_gamified
304.9,247.3166666666667,non_gamified
305.0,174.9257142857143,non_gamified
305.1,135.10666666666665,non_gamified
305.2,82.26857142857143,non_gamified
305.3,66.91833333333334,non_gamified
305.4,196.01999999999998,non_gamified
305.5,337.29285714285714,non_gamified
305.6,186.835,non_gamified
305.7,-29.651666666666667,non_gamified
305.8,-248.69285714285712,non_gamified
305.9,-162.79833333333332,non_gamified
306.0,-53.620000000000005,non_gamified
306.1,-154.33,non_gamified
306.2,-184.0842857142857,non_gamified
306.3,-427.13166666666666,non_gamified
306.4,-486.23333333333335,non_gamified
306.5,-266.87857142857143,non_gamified
306.6,-88.86500000000001,non_gamified
306.7,201.98166666666665,non_gamified
306.8,295.31,non_gamified
306.9,168.45666666666668,non_gamified
307.0,172.98714285714286,non_gamified
307.1,203.52833333333334,non_gamified
307.2,114.48571428571428,non_gamified
307.3,74.08999999999999,non_gamified
307.4,44.26500000000001,non_gamified
307.5,34.47571428571428,non_gamified
307.6,28.083333333333332,non_gamified
307.7,-3.0716666666666668,non_gamified
307.8,-39.44,non_gamified
307.9,-53.655,non_gamified
308.0,-71.11142857142858,non_gamified
308.1,-59.83166666666667,non_gamified
308.2,-20.611428571428572,non_gamified
308.3,41.54833333333333,non_gamified
308.4,97.02,non_gamified
308.5,148.53428571428572,non_gamified
308.6,151.31333333333333,non_gamified
308.7,202.80333333333337,non_gamified
308.8,198.01,non_gamified
308.9,-41.931666666666665,non_gamified
309.0,-290.8857142857143,non_gamified
309.1,-598.0916666666667,non_gamified
309.2,-361.3457142857143,non_gamified
309.3,89.61166666666666,non_gamified
309.4,253.295,non_gamified
309.5,276.30857142857144,non_gamified
309.6,320.77500000000003,non_gamified
309.7,164.055,non_gamified
309.8,195.2942857142857,non_gamified
309.9,125.21499999999999,non_gamified
310.0,-109.94285714285715,non_gamified
310.1,-349.04333333333335,non_gamified
310.2,-658.3514285714285,non_gamified
310.3,-700.4833333333332,non_gamified
310.4,-399.2833333333333,non_gamified
310.5,-147.32142857142858,non_gamified
310.6,12.853333333333333,non_gamified
310.7,92.78333333333335,non_gamified
310.8,137.5557142857143,non_gamified
310.9,218.975,non_gamified
311.0,391.63714285714286,non_gamified
311.1,304.37666666666667,non_gamified
311.2,124.4057142857143,non_gamified
311.3,74.33999999999999,non_gamified
311.4,22.666666666666668,non_gamified
311.5,-87.00142857142858,non_gamified
311.6,16.465,non_gamified
311.7,38.40833333333333,non_gamified
311.8,-90.27714285714286,non_gamified
311.9,-142.99,non_gamified
312.0,-118.05142857142857,non_gamified
312.1,-106.31166666666667,non_gamified
312.2,-104.26428571428572,non_gamified
312.3,60.73,non_gamified
312.4,159.13666666666666,non_gamified
312.5,128.56571428571428,non_gamified
312.6,90.34833333333334,non_gamified
