time_elapsed,bvp,eda,temp
41.0,-11.701666666666666,1.5865757333333332,33.223333333333336
42.0,6.9584,1.58786498,33.2216
43.0,3.2235079365079358,1.5839709666666666,33.225
44.0,3.717261538461538,1.57100854,33.223
45.0,-8.704698412698411,1.5545109666666668,33.224666666666664
46.0,2.5991538461538455,1.53043064,33.2204
47.0,6.057857142857143,1.5460566333333334,33.21633333333333
48.0,0.34266153846153785,1.55361358,33.2118
49.0,-13.473857142857142,1.546569,33.20633333333333
50.0,11.76373846153846,1.5376031600000002,33.2014
51.0,-5.914777777777777,1.5338886333333333,33.203
52.0,4.609969230769231,1.5309172000000002,33.197
53.0,3.1505079365079363,1.5203738333333334,33.19533333333333
54.0,-2.3495999999999997,1.50471732,33.1964
55.0,5.533920634920635,1.5032914333333334,33.19533333333333
56.0,-11.621292307692308,1.5026682199999999,33.1924
57.0,-3.867111111111112,1.4985524333333333,33.184000000000005
58.0,8.941523076923076,1.5074322800000002,33.1848
59.0,-0.5406349206349204,1.5101645333333333,33.184333333333335
60.0,0.09839999999999964,1.4948801,33.1814
61.0,-3.7303968253968263,1.4931295666666666,33.18133333333334
62.0,-4.1249692307692305,1.5067530999999998,33.178399999999996
63.0,8.281761904761904,1.5197057333333333,33.176
64.0,-6.650492307692308,1.52097026,33.175200000000004
65.0,8.677825396825396,1.5232503999999998,33.17266666666667
66.0,-2.3297230769230763,1.5143870600000002,33.1708
67.0,9.545460317460318,1.5098015,33.17066666666667
68.0,-19.251123076923076,1.5022444,33.1688
69.0,16.409174603174602,1.4990424333333334,33.17066666666666
70.0,-4.908892307692308,1.4900646800000001,33.1676
71.0,0.356603174603176,1.4818854333333333,33.162333333333336
72.0,-0.3124461538461535,1.47513968,33.1638
73.0,5.417412698412698,1.4711264666666666,33.164
74.0,-9.780169230769229,1.4688892,33.166
75.0,5.163603174603176,1.4643808333333332,33.162
76.0,3.0553384615384616,1.46389468,33.164
77.0,-15.045698412698414,1.461136666666667,33.166666666666664
78.0,9.894138461538462,1.4540830999999999,33.1584
79.0,1.239698412698413,1.4532802999999999,33.15533333333333
80.0,2.0991538461538455,1.4475508,33.153200000000005
81.0,-5.493396825396824,1.4465774,33.14933333333333
82.0,7.282107692307693,1.4423247399999999,33.1416
83.0,-6.8774444444444445,1.4349213333333333,33.14233333333333
84.0,2.2103846153846156,1.4334097799999999,33.1526
85.0,-0.7547301587301585,1.4304381000000002,33.15
86.0,-3.549107692307692,1.4248364800000002,33.1432
87.0,0.5244126984126986,1.4186542333333334,33.14933333333333
88.0,0.14606153846153838,1.4174418,33.1496
89.0,-0.3202380952380954,1.4161353666666667,33.147000000000006
90.0,1.5432307692307694,1.41393214,33.149
91.0,-2.9950476190476194,1.4073400666666667,33.147000000000006
92.0,1.4880461538461538,1.4038901400000001,33.1418
93.0,4.44890476190476,1.4046924333333333,33.142
94.0,-12.49773846153846,1.40435094,33.144400000000005
95.0,10.81473015873016,1.4013621666666665,33.144
96.0,-3.588000000000001,1.3973061,33.1488
97.0,6.668126984126985,1.4046919,33.150666666666666
98.0,4.076246153846154,1.4097551400000001,33.1528
99.0,-6.7157936507936515,1.3993120666666665,33.15333333333333
100.0,0.2323230769230779,1.39597344,33.152
101.0,2.9839206349206346,1.3956403,33.15266666666666
102.0,-3.991707692307692,1.38718664,33.154
103.0,1.923603174603175,1.3823195666666666,33.15466666666667
104.0,-0.19116923076923095,1.3790919000000001,33.1536
105.0,-2.696015873015873,1.3761715666666667,33.150666666666666
106.0,3.184076923076923,1.37486484,33.1496
107.0,5.1806825396825396,1.3894924333333334,33.150333333333336
108.0,-12.060107692307692,1.3867258,33.159800000000004
109.0,7.193174603174603,1.3878696666666666,33.160333333333334
110.0,12.783338461538461,1.3890822200000001,33.159000000000006
111.0,-24.282396825396823,1.3845823000000002,33.157666666666664
112.0,-1.0006461538461537,1.3834209999999998,33.157000000000004
113.0,8.228968253968254,1.3857349666666665,33.161
114.0,0.1101230769230771,1.3852654999999998,33.163
115.0,-4.57704761904762,1.3805264333333334,33.16166666666667
116.0,12.857092307692309,1.39663892,33.159800000000004
117.0,7.899126984126984,1.4033247,33.159000000000006
118.0,-12.479169230769232,1.40268442,33.1558
